id,seller_pk,seller_status,seller_status_code,seller_rating,seller_date_registered,seller_date_contract_start,seller_distinguished
1,j_1,internal,internal.qa,NULL,1218992380,1218988800,NULL
2,j_2,active,active.active,A,1221080028,1221062400,DISTINGUISHED
3,j_3,closed,closed.voluntary,A,1221080510,1221062400,NULL
4,j_4,active,active.active,A,1221081003,1221062400,DISTINGUISHED
5,j_5,closed,closed.involuntary,A,1221081475,1221062400,NULL
6,j_6,active,active.active,B,1221083078,1221062400,NULL
7,j_7,active,active.active,A,1221083572,1221062400,DISTINGUISHED
8,j_8,closed,closed.voluntary,A,1221083792,1221062400,NULL
9,j_9,closed,closed.voluntary,NULL,1221488791,1221494400,NULL
10,j_10,closed,closed.voluntary,B,1221493326,1221494400,NULL
11,j_11,active,active.active,A,1221506322,1221494400,NULL
12,j_12,closed,closed.voluntary,NULL,1221580068,1221580800,NULL
13,j_13,closed,closed.voluntary,NULL,1221860806,1221840000,NULL
14,j_14,closed,closed.voluntary,NULL,1222452744,1222444800,NULL
15,j_15,closed,closed.voluntary,A,1222963289,1222963200,DISTINGUISHED
16,j_16,closed,closed.voluntary,NULL,1222970844,1222963200,NULL
17,j_17,closed,closed.involuntary,A,1223072976,1223049600,NULL
18,j_18,closed,closed.voluntary,NULL,1223388418,1223395200,NULL
19,j_19,closed,closed.ar,A,1223588811,1223568000,NULL
20,j_20,closed,closed.involuntary,A,1225900646,1225904400,NULL
21,j_21,active,active.active,A,1227303312,1227286800,DISTINGUISHED
22,j_22,active,active.active,A,1228246091,1228237200,NULL
23,j_23,closed,closed.voluntary,A,1228773723,1228755600,NULL
24,j_24,active,active.active,A,1228855837,1228842000,DISTINGUISHED
25,j_25,closed,closed.involuntary,B,1228938027,1228928400,NULL
26,j_26,active,active.active,B,1230050220,1230051600,NULL
27,j_27,closed,closed.involuntary,A,1231280739,1231261200,NULL
28,j_28,active,active.active,A,1231536983,1231520400,DISTINGUISHED
29,j_29,closed,closed.voluntary,A,1232493701,1232470800,NULL
30,j_30,active,active.active,A,1234393997,1234371600,DISTINGUISHED
31,j_31,closed,closed.voluntary,A,1235757833,1235754000,NULL
32,j_32,active,active.active,A,1236033568,1236013200,DISTINGUISHED
33,j_33,closed,closed.voluntary,NULL,1236899704,1236873600,NULL
34,j_34,closed,closed.involuntary,A,1237301847,1238601600,NULL
35,j_35,closed,closed.voluntary,NULL,1238513497,1238515200,NULL
36,j_36,active,active.active,E,1238514242,1238515200,NULL
37,j_37,closed,closed.voluntary,NULL,1241044023,1241020800,NULL
38,j_38,active,active.active,A,1241121169,1241107200,DISTINGUISHED
39,j_39,active,active.active,B,1242340760,1242316800,NULL
40,j_40,active,active.active,B,1244126972,1244131200,NULL
41,v_41,internal,internal.qa,NULL,1240099504,1240070400,NULL
42,v_42,closed,closed.voluntary,NULL,1241561695,1241539200,NULL
43,v_43,closed,closed.ar,NULL,1241562598,1241539200,NULL
44,v_44,active,active.active,A,1241563241,1241539200,DISTINGUISHED
45,v_45,active,active.active,A,1241563459,1241539200,DISTINGUISHED
46,v_46,active,active.active,A,1241563732,1241539200,NULL
47,v_47,active,active.active,B,1241563898,1241539200,DISTINGUISHED
48,v_48,active,active.active,B,1241564093,1241539200,NULL
49,v_49,closed,closed.voluntary,NULL,1241564349,1241539200,DISTINGUISHED
50,v_50,active,active.active,C,1241564588,1241539200,NULL
51,v_51,closed,closed.voluntary,NULL,1242428778,1242403200,NULL
52,j_52,active,active.active,A,1244851770,1244822400,DISTINGUISHED
53,v_53,closed,closed.voluntary,NULL,1245110080,1245081600,NULL
54,j_54,closed,closed.ar,A,1245356928,1245340800,NULL
55,v_55,closed,closed.voluntary,NULL,1245423378,1245427200,NULL
56,v_56,closed,closed.involuntary,B,1245689630,1245686400,NULL
57,j_57,closed,closed.voluntary,A,1246966812,1246982400,NULL
58,v_58,active,active.active,A,1248461163,1248451200,NULL
59,j_59,closed,closed.involuntary,NULL,1248461590,1248451200,NULL
60,j_60,closed,closed.voluntary,NULL,1248981617,1248969600,NULL
61,j_61,closed,closed.involuntary,A,1248982901,1248969600,NULL
62,v_62,active,active.active,C,1248992229,1248969600,NULL
63,v_63,closed,closed.involuntary,D,1249067305,1249056000,NULL
64,v_64,closed,closed.voluntary,A,1249330154,1249315200,NULL
65,j_65,active,active.active,B,1249481680,1249488000,NULL
66,v_66,closed,closed.voluntary,NULL,1249660914,1249660800,NULL
67,j_67,internal,internal.qa,NULL,1250016657,1250006400,NULL
68,j_68,closed,closed.voluntary,NULL,1250024193,1250006400,NULL
69,j_69,active,active.active,A,1250115489,1250092800,NULL
70,j_70,closed,closed.voluntary,A,1250115936,1250092800,NULL
71,j_71,closed,closed.voluntary,B,1250532775,1250524800,NULL
72,v_72,closed,closed.voluntary,NULL,1251747650,1251734400,NULL
73,j_73,closed,closed.involuntary,NULL,1252449596,1252425600,NULL
