id,seller_pk,address_id,address_status,address_type
101546923,a_10173,69706903,ACTIVE,SELLER_PAY
101546983,a_10173,69706943,ACTIVE,SELLER_BILLING
101638061,a_10181,69765341,ACTIVE,SELLER_SHIPPING
101638091,a_10181,69765351,ACTIVE,SELLER_PAY
184289072,a_10181,69765341,ACTIVE,SELLER_DEFAULT
101935921,a_10191,69962191,ACTIVE,SELLER_SHIPPING
101935941,a_10191,69962191,ACTIVE,SELLER_DEFAULT
101935951,a_10191,69962201,ACTIVE,SELLER_PAY
102133993,a_10193,70096423,ACTIVE,SELLER_SHIPPING
102134013,a_10193,70096423,ACTIVE,SELLER_DEFAULT
102134023,a_10193,70096433,ACTIVE,SELLER_PAY
102134303,a_10193,70096533,ACTIVE,SELLER_BILLING
39269561,a_102,56666841,ACTIVE,SELLER_BILLING
39282311,a_102,56680061,ACTIVE,SELLER_PAY
39358733,a_102,56707733,ACTIVE,SELLER_SHIPPING
39358773,a_102,56707733,ACTIVE,SELLER_DEFAULT
102296061,a_10201,70206531,ACTIVE,SELLER_SHIPPING
102296081,a_10201,70206531,ACTIVE,SELLER_DEFAULT
102296091,a_10201,70206541,ACTIVE,SELLER_PAY
102296701,a_10211,70206741,ACTIVE,SELLER_SHIPPING
102296721,a_10211,70206741,ACTIVE,SELLER_DEFAULT
102296741,a_10211,70206761,ACTIVE,SELLER_PAY
39390643,a_1022,56720163,ACTIVE,SELLER_SHIPPING
39390693,a_1022,56720163,ACTIVE,SELLER_DEFAULT
39533363,a_1022,56778483,ACTIVE,SELLER_BILLING
39547703,a_1022,56792843,ACTIVE,SELLER_PAY
102330541,a_10231,70230531,ACTIVE,SELLER_SHIPPING
102330561,a_10231,70230531,ACTIVE,SELLER_DEFAULT
102330571,a_10231,70230541,ACTIVE,SELLER_PAY
102330781,a_10231,70230741,ACTIVE,SELLER_BILLING
102522381,a_10241,70362511,ACTIVE,SELLER_SHIPPING
102522401,a_10241,70362511,ACTIVE,SELLER_DEFAULT
102522421,a_10241,70362521,ACTIVE,SELLER_PAY
102670193,a_10243,70476853,ACTIVE,SELLER_SHIPPING
102670213,a_10243,70476853,ACTIVE,SELLER_DEFAULT
102670223,a_10243,70476863,ACTIVE,SELLER_PAY
102687273,a_10253,70493623,ACTIVE,SELLER_SHIPPING
102687303,a_10253,70493633,ACTIVE,SELLER_PAY
111999882,a_10253,77144012,ACTIVE,SELLER_BILLING
134199291,a_10253,91330671,ACTIVE,SELLER_DEFAULT
102763763,a_10263,70578333,ACTIVE,SELLER_SHIPPING
102763793,a_10263,70578343,ACTIVE,SELLER_PAY
102845413,a_10263,70650313,ACTIVE,SELLER_DEFAULT
102767503,a_10273,70583713,ACTIVE,SELLER_SHIPPING
102767523,a_10273,70583713,ACTIVE,SELLER_DEFAULT
102767533,a_10273,70583723,ACTIVE,SELLER_PAY
102936823,a_10283,70697973,ACTIVE,SELLER_SHIPPING
102936843,a_10283,70697973,ACTIVE,SELLER_DEFAULT
102936853,a_10283,70697983,ACTIVE,SELLER_PAY
102936923,a_10283,70697993,ACTIVE,SELLER_BILLING
102937153,a_10293,70698013,ACTIVE,SELLER_SHIPPING
102937173,a_10293,70698013,ACTIVE,SELLER_DEFAULT
102937183,a_10293,70698023,ACTIVE,SELLER_PAY
102937243,a_10293,70698033,ACTIVE,SELLER_BILLING
39206963,a_103,56603463,ACTIVE,SELLER_BILLING
39358813,a_103,56707763,ACTIVE,SELLER_SHIPPING
39358863,a_103,56707763,ACTIVE,SELLER_DEFAULT
103192831,a_10301,70891251,ACTIVE,SELLER_SHIPPING
103192851,a_10301,70891251,ACTIVE,SELLER_DEFAULT
103192861,a_10301,70891261,ACTIVE,SELLER_PAY
103237391,a_10311,70922091,ACTIVE,SELLER_SHIPPING
103237421,a_10311,70922101,ACTIVE,SELLER_PAY
181044992,a_10311,122191072,ACTIVE,SELLER_DEFAULT
39270471,a_1032,56667751,ACTIVE,SELLER_BILLING
39283271,a_1032,56681021,ACTIVE,SELLER_PAY
39390743,a_1032,56720193,ACTIVE,SELLER_SHIPPING
39390803,a_1032,56720193,ACTIVE,SELLER_DEFAULT
103252361,a_10321,70936341,ACTIVE,SELLER_SHIPPING
103252381,a_10321,70936341,ACTIVE,SELLER_DEFAULT
103252391,a_10321,70936351,ACTIVE,SELLER_PAY
103252511,a_10321,70936411,ACTIVE,SELLER_BILLING
103373031,a_10331,71005311,ACTIVE,SELLER_SHIPPING
103373061,a_10331,71005321,ACTIVE,SELLER_PAY
103373071,a_10331,71005401,ACTIVE,SELLER_BILLING
160657092,a_10331,108376182,ACTIVE,SELLER_DEFAULT
103385071,a_10341,71015411,ACTIVE,SELLER_SHIPPING
103385091,a_10341,71015411,ACTIVE,SELLER_DEFAULT
103385101,a_10341,71015421,ACTIVE,SELLER_PAY
103385211,a_10341,71015471,ACTIVE,SELLER_BILLING
103540033,a_10343,71139083,ACTIVE,SELLER_SHIPPING
103540053,a_10343,71139083,ACTIVE,SELLER_DEFAULT
103540063,a_10343,71139093,ACTIVE,SELLER_PAY
103572763,a_10353,71158443,ACTIVE,SELLER_SHIPPING
103572783,a_10353,71158443,ACTIVE,SELLER_DEFAULT
103572793,a_10353,71158453,ACTIVE,SELLER_PAY
103572853,a_10353,71158473,ACTIVE,SELLER_BILLING
103609133,a_10363,71193913,ACTIVE,SELLER_SHIPPING
103609153,a_10363,71193913,ACTIVE,SELLER_DEFAULT
103609163,a_10363,71193923,ACTIVE,SELLER_PAY
103610343,a_10373,71194863,ACTIVE,SELLER_SHIPPING
103610363,a_10373,71194863,ACTIVE,SELLER_DEFAULT
103610373,a_10373,71194873,ACTIVE,SELLER_PAY
103655213,a_10393,71225783,ACTIVE,SELLER_SHIPPING
103655233,a_10393,71225783,ACTIVE,SELLER_DEFAULT
103655243,a_10393,71225793,ACTIVE,SELLER_PAY
103655543,a_10393,71226093,ACTIVE,SELLER_BILLING
39358903,a_104,56707793,ACTIVE,SELLER_SHIPPING
39358953,a_104,56707793,ACTIVE,SELLER_DEFAULT
103853463,a_10403,71346893,ACTIVE,SELLER_SHIPPING
103853483,a_10403,71346893,ACTIVE,SELLER_DEFAULT
103853493,a_10403,71346903,ACTIVE,SELLER_PAY
103853593,a_10403,71346963,ACTIVE,SELLER_BILLING
104182721,a_10411,71620451,ACTIVE,SELLER_SHIPPING
104182751,a_10411,71620461,ACTIVE,SELLER_PAY
104182851,a_10411,71620531,ACTIVE,SELLER_BILLING
175260832,a_10411,107927812,ACTIVE,SELLER_DEFAULT
39270481,a_1042,56667761,ACTIVE,SELLER_BILLING
39283281,a_1042,56681031,ACTIVE,SELLER_PAY
39390833,a_1042,56720233,ACTIVE,SELLER_SHIPPING
39390893,a_1042,56720233,ACTIVE,SELLER_DEFAULT
104183011,a_10421,71620541,ACTIVE,SELLER_SHIPPING
104183031,a_10421,71620541,ACTIVE,SELLER_DEFAULT
104183041,a_10421,71620551,ACTIVE,SELLER_PAY
104183101,a_10421,71620561,ACTIVE,SELLER_BILLING
104186701,a_10431,71622091,ACTIVE,SELLER_SHIPPING
104186731,a_10431,71622101,ACTIVE,SELLER_PAY
104186991,a_10431,71622181,ACTIVE,SELLER_BILLING
174779822,a_10431,71622091,ACTIVE,SELLER_DEFAULT
104288301,a_10441,71717331,ACTIVE,SELLER_SHIPPING
104288321,a_10441,71717331,ACTIVE,SELLER_DEFAULT
104288331,a_10441,71717341,ACTIVE,SELLER_PAY
104291481,a_10451,71719131,ACTIVE,SELLER_SHIPPING
104291511,a_10451,71719141,ACTIVE,SELLER_PAY
106186732,a_10451,73077612,ACTIVE,SELLER_DEFAULT
104339543,a_10453,71752503,ACTIVE,SELLER_SHIPPING
104339563,a_10453,71752503,ACTIVE,SELLER_DEFAULT
104339573,a_10453,71752513,ACTIVE,SELLER_PAY
104443211,a_10461,71843801,ACTIVE,SELLER_SHIPPING
104443231,a_10461,71843801,ACTIVE,SELLER_DEFAULT
104443251,a_10461,71843811,ACTIVE,SELLER_PAY
104443821,a_10471,71844031,ACTIVE,SELLER_SHIPPING
104443851,a_10471,71844041,ACTIVE,SELLER_PAY
163932842,a_10471,91828822,ACTIVE,SELLER_DEFAULT
104597931,a_10481,71935161,ACTIVE,SELLER_SHIPPING
104597951,a_10481,71935161,ACTIVE,SELLER_DEFAULT
104597961,a_10481,71935171,ACTIVE,SELLER_PAY
104598021,a_10481,71935191,ACTIVE,SELLER_BILLING
39358993,a_105,56707823,ACTIVE,SELLER_SHIPPING
39359043,a_105,56707823,ACTIVE,SELLER_DEFAULT
39532163,a_105,56777283,ACTIVE,SELLER_BILLING
104615101,a_10501,71948631,ACTIVE,SELLER_SHIPPING
104615121,a_10501,71948631,ACTIVE,SELLER_DEFAULT
104615131,a_10501,71948641,ACTIVE,SELLER_PAY
104620221,a_10511,71950781,ACTIVE,SELLER_SHIPPING
104620241,a_10511,71950781,ACTIVE,SELLER_DEFAULT
104620251,a_10511,71950791,ACTIVE,SELLER_PAY
104623831,a_10511,71953021,ACTIVE,SELLER_BILLING
39270491,a_1052,56667771,ACTIVE,SELLER_BILLING
39283291,a_1052,56681041,ACTIVE,SELLER_PAY
39390923,a_1052,56720263,ACTIVE,SELLER_SHIPPING
184590292,a_1052,124974442,ACTIVE,SELLER_DEFAULT
104672051,a_10521,71979931,ACTIVE,SELLER_SHIPPING
104672071,a_10521,71979931,ACTIVE,SELLER_DEFAULT
104672081,a_10521,71979941,ACTIVE,SELLER_PAY
104719261,a_10531,72016631,ACTIVE,SELLER_SHIPPING
104719281,a_10531,72016631,ACTIVE,SELLER_DEFAULT
104719291,a_10531,72016641,ACTIVE,SELLER_PAY
104720181,a_10541,72017231,ACTIVE,SELLER_SHIPPING
104720201,a_10541,72017231,ACTIVE,SELLER_DEFAULT
104720211,a_10541,72017261,ACTIVE,SELLER_PAY
104804863,a_10543,72078843,ACTIVE,SELLER_SHIPPING
104804883,a_10543,72078843,ACTIVE,SELLER_DEFAULT
104804893,a_10543,72078853,ACTIVE,SELLER_PAY
104838983,a_10553,72096643,ACTIVE,SELLER_SHIPPING
104839003,a_10553,72096643,ACTIVE,SELLER_DEFAULT
104839013,a_10553,72096653,ACTIVE,SELLER_PAY
104839343,a_10553,72096713,ACTIVE,SELLER_BILLING
104840703,a_10563,72097363,ACTIVE,SELLER_SHIPPING
104840723,a_10563,72097363,ACTIVE,SELLER_DEFAULT
104840733,a_10563,72097373,ACTIVE,SELLER_PAY
104841123,a_10563,72097473,ACTIVE,SELLER_BILLING
104852053,a_10573,72105823,ACTIVE,SELLER_SHIPPING
104852073,a_10573,72105823,ACTIVE,SELLER_DEFAULT
104852083,a_10573,72105833,ACTIVE,SELLER_PAY
105211003,a_10593,72429703,ACTIVE,SELLER_SHIPPING
105211023,a_10593,72429703,ACTIVE,SELLER_DEFAULT
105211033,a_10593,72429713,ACTIVE,SELLER_PAY
105211423,a_10593,72429943,ACTIVE,SELLER_BILLING
39269571,a_106,56666851,ACTIVE,SELLER_BILLING
39282321,a_106,56680071,ACTIVE,SELLER_PAY
39359083,a_106,56707853,ACTIVE,SELLER_SHIPPING
39359133,a_106,56707853,ACTIVE,SELLER_DEFAULT
39270501,a_1062,56667781,ACTIVE,SELLER_BILLING
39283301,a_1062,56681051,ACTIVE,SELLER_PAY
39391013,a_1062,56720293,ACTIVE,SELLER_SHIPPING
172304392,a_1062,116074852,ACTIVE,SELLER_DEFAULT
105317613,a_10633,72497343,ACTIVE,SELLER_SHIPPING
105317633,a_10633,72497343,ACTIVE,SELLER_DEFAULT
105317643,a_10633,72497353,ACTIVE,SELLER_PAY
105318313,a_10643,72497973,ACTIVE,SELLER_SHIPPING
105318333,a_10643,72497973,ACTIVE,SELLER_DEFAULT
105318343,a_10643,72498003,ACTIVE,SELLER_PAY
105319233,a_10653,72498253,ACTIVE,SELLER_SHIPPING
105319253,a_10653,72498253,ACTIVE,SELLER_DEFAULT
105319263,a_10653,72498263,ACTIVE,SELLER_PAY
105648312,a_10662,72682092,ACTIVE,SELLER_SHIPPING
105648332,a_10662,72682092,ACTIVE,SELLER_DEFAULT
105648342,a_10662,72682102,ACTIVE,SELLER_PAY
105648702,a_10662,72682322,ACTIVE,SELLER_BILLING
105708391,a_10671,72726331,ACTIVE,SELLER_SHIPPING
105708411,a_10671,72726331,ACTIVE,SELLER_DEFAULT
105708421,a_10671,72726341,ACTIVE,SELLER_PAY
105708771,a_10671,72726751,ACTIVE,SELLER_BILLING
105726161,a_10681,72741721,ACTIVE,SELLER_SHIPPING
105726181,a_10681,72741721,ACTIVE,SELLER_DEFAULT
105726191,a_10681,72741731,ACTIVE,SELLER_PAY
105726701,a_10681,72742361,ACTIVE,SELLER_BILLING
105735581,a_10691,72750301,ACTIVE,SELLER_SHIPPING
105735601,a_10691,72750301,ACTIVE,SELLER_DEFAULT
105735611,a_10691,72750311,ACTIVE,SELLER_PAY
39359173,a_107,56707883,ACTIVE,SELLER_SHIPPING
39359223,a_107,56707883,ACTIVE,SELLER_DEFAULT
39532173,a_107,56777293,ACTIVE,SELLER_BILLING
39546383,a_107,56791523,ACTIVE,SELLER_PAY
105830421,a_10701,72818901,ACTIVE,SELLER_SHIPPING
105830441,a_10701,72818901,ACTIVE,SELLER_DEFAULT
105830461,a_10701,72818911,ACTIVE,SELLER_PAY
107992512,a_10701,74247152,ACTIVE,SELLER_BILLING
105831471,a_10711,72819471,ACTIVE,SELLER_SHIPPING
