id,seller_pk,seller_status,seller_status_code,seller_rating,seller_date_registered,seller_date_contract_start,seller_distinguished
1,a_1,closed,closed.voluntary,NULL,1273444749,1273420800,NULL
2,a_2,internal,internal.qa,NULL,1273444749,1273420800,NULL
3,a_3,active,active.active,A,1277995299,1278000000,DISTINGUISHED
4,a_4,closed,closed.voluntary,NULL,1277995516,1278000000,NULL
5,a_5,closed,closed.voluntary,NULL,1277995714,1278000000,NULL
6,a_6,closed,closed.voluntary,NULL,1280863645,1280851200,NULL
7,a_7,internal,internal.qa,NULL,1280863977,1280851200,NULL
8,a_8,closed,closed.voluntary,NULL,1280869065,1280851200,NULL
9,a_9,active,active.active,A,1281119215,1281110400,DISTINGUISHED
10,a_10,closed,closed.voluntary,A,1281120082,1281110400,NULL
11,a_11,active,active.active,C,1281121356,1281110400,NULL
12,a_12,closed,closed.voluntary,NULL,1281121868,1281110400,NULL
13,a_13,closed,closed.voluntary,A,1281379136,1281369600,NULL
14,a_14,active,active.active,A,1282243202,1282233600,DISTINGUISHED
18,a_18,closed,closed.voluntary,A,1282682419,1282665600,NULL
19,a_19,nopay,nopay.complimentary,A,1282682606,1282665600,DISTINGUISHED
20,a_20,closed,closed.voluntary,A,1282682752,1282665600,NULL
21,a_21,internal,internal.qa,NULL,1283612630,1283616000,NULL
22,a_22,internal,internal.qa,NULL,1283612680,1283616000,NULL
23,a_23,active,active.active,A,1283877152,1283875200,DISTINGUISHED
24,a_24,internal,internal.qa,NULL,1284138549,1284134400,NULL
25,a_25,closed,closed.voluntary,A,1284579232,1284566400,DISTINGUISHED
26,a_26,closed,closed.voluntary,NULL,1284737314,1284739200,NULL
27,a_27,active,active.active,A,1284737488,1284739200,DISTINGUISHED
28,a_28,closed,closed.voluntary,NULL,1284917225,1284912000,NULL
29,a_29,active,active.active,A,1289410906,1289365200,DISTINGUISHED
31,a_31,closed,closed.voluntary,A,1290005457,1290013200,DISTINGUISHED
32,a_32,closed,closed.ar,C,1290468765,1290445200,NULL
33,a_33,closed,closed.voluntary,A,1291137936,1291136400,NULL
34,a_34,closed,closed.voluntary,A,1291924989,1291914000,NULL
35,a_35,closed,closed.voluntary,NULL,1295642580,1295629200,NULL
36,a_36,closed,closed.voluntary,C,1295893872,1295888400,NULL
37,a_37,suspended,suspended.frozen,A,1297285335,1297270800,NULL
38,a_38,closed,closed.voluntary,A,1297718899,1297702800,DISTINGUISHED
39,a_39,active,active.active,C,1298051274,1298048400,NULL
40,a_40,closed,closed.voluntary,A,1298673464,1298653200,DISTINGUISHED
41,a_41,closed,closed.voluntary,NULL,1298908008,1298912400,NULL
42,a_42,closed,closed.voluntary,NULL,1300727238,1300723200,NULL
43,a_43,closed,closed.voluntary,NULL,1301678483,1301673600,NULL
44,a_44,closed,closed.voluntary,NULL,1302882231,1302883200,NULL
45,a_45,closed,closed.ar,NULL,1302882435,1302883200,NULL
46,a_46,nopay,nopay.complimentary,A,1303140863,1303142400,DISTINGUISHED
47,a_47,closed,closed.voluntary,NULL,1303153517,1303142400,NULL
48,a_48,closed,closed.voluntary,A,1304099184,1304092800,DISTINGUISHED
49,a_49,closed,closed.voluntary,NULL,1304100021,1304092800,NULL
51,a_51,closed,closed.voluntary,A,1304705160,1304697600,DISTINGUISHED
52,a_52,closed,closed.involuntary,A,1304705341,1304697600,NULL
53,a_53,closed,closed.voluntary,NULL,1304705650,1304697600,NULL
54,a_54,closed,closed.voluntary,NULL,1305908315,1305907200,NULL
55,a_55,closed,closed.voluntary,NULL,1305921797,1305907200,NULL
56,a_56,nopay,nopay.complimentary,A,1306515943,1306512000,DISTINGUISHED
57,a_57,closed,closed.voluntary,NULL,1306870043,1306857600,NULL
58,a_58,closed,closed.voluntary,A,1306878676,1306857600,NULL
59,a_59,active,active.active,A,1307461520,1307462400,DISTINGUISHED
60,a_60,closed,closed.voluntary,A,1307631038,1307635200,DISTINGUISHED
61,a_61,closed,closed.voluntary,NULL,1307635993,1307635200,NULL
62,a_62,closed,closed.voluntary,NULL,1308104758,1308067200,NULL
63,a_63,closed,closed.voluntary,NULL,1308163146,1308153600,NULL
64,a_64,closed,closed.voluntary,NULL,1308263059,1308240000,NULL
65,a_65,closed,closed.voluntary,NULL,1308691206,1308672000,NULL
66,a_66,nopay,nopay.complimentary,A,1308868474,1308844800,DISTINGUISHED
67,a_67,closed,closed.voluntary,B,1309295325,1309276800,NULL
68,a_68,closed,closed.voluntary,NULL,1309465129,1309449600,NULL
69,a_69,closed,closed.voluntary,NULL,1310595157,1310572800,NULL
70,a_70,closed,closed.voluntary,NULL,1311269303,1311264000,NULL
71,a_71,active,active.active,B,1311282961,1311264000,NULL
72,a_72,nopay,nopay.complimentary,B,1311802880,1311782400,NULL
73,a_73,closed,closed.voluntary,NULL,1313096946,1313078400,NULL
74,a_74,closed,closed.voluntary,NULL,1313097368,1313078400,NULL
75,a_75,closed,closed.voluntary,A,1314291395,1314288000,NULL
76,a_76,closed,closed.voluntary,NULL,1314298604,1314288000,NULL
77,a_77,closed,closed.voluntary,NULL,1314825189,1314806400,NULL
78,a_78,closed,closed.voluntary,NULL,1315326096,1315324800,NULL
79,a_79,active,active.active,A,1315427663,1315411200,DISTINGUISHED
80,a_80,closed,closed.voluntary,A,1315863618,1315843200,NULL
81,a_81,closed,closed.voluntary,A,1316806911,1316793600,NULL
82,a_82,closed,closed.involuntary,NULL,1317050255,1317052800,NULL
83,a_83,closed,closed.voluntary,NULL,1317226002,1317225600,NULL
84,a_84,closed,closed.voluntary,A,1317758036,1317744000,DISTINGUISHED
85,a_85,active,active.active,A,1317759073,1317744000,DISTINGUISHED
86,a_86,active,active.active,B,1318007727,1318003200,DISTINGUISHED
87,a_87,closed,closed.voluntary,NULL,1319496006,1319472000,NULL
88,a_88,active,active.active,B,1319634663,1319644800,DISTINGUISHED
89,a_89,closed,closed.voluntary,NULL,1320441563,1320422400,NULL
90,a_90,closed,closed.voluntary,NULL,1321630628,1321635600,NULL
91,a_91,active,active.active,B,1323189905,1323190800,NULL
92,a_92,internal,internal.qa,NULL,1323358408,1323363600,NULL
93,a_93,active,active.active,A,1323443511,1323450000,NULL
94,a_94,closed,closed.voluntary,NULL,1323792227,1323795600,NULL
95,a_95,closed,closed.voluntary,NULL,1326827148,1326819600,NULL
96,a_96,closed,closed.voluntary,NULL,1327354331,1327338000,NULL
97,a_97,closed,closed.voluntary,NULL,1327355237,1327338000,NULL
98,a_98,closed,closed.voluntary,NULL,1327440721,1327424400,NULL
99,a_99,closed,closed.voluntary,NULL,1328219356,1328202000,NULL
100,a_100,closed,closed.voluntary,NULL,1330018912,1330016400,NULL
101,a_101,closed,closed.voluntary,C_PLUS,1330709807,1330664400,NULL
102,a_102,nopay,nopay.complimentary,A,1332366119,1332345600,DISTINGUISHED
103,a_103,closed,closed.voluntary,B,1333956807,1333987200,NULL
104,a_104,closed,closed.voluntary,NULL,1333957753,1333987200,NULL
105,a_105,closed,closed.voluntary,NULL,1334259622,1334246400,NULL
106,a_106,active,active.active,A,1335969125,1335974400,DISTINGUISHED
107,a_107,closed,closed.voluntary,NULL,1337089596,1337097600,NULL
108,a_108,closed,closed.voluntary,B_PLUS,1337089879,1337097600,NULL
109,a_109,closed,closed.voluntary,NULL,1337290674,1337270400,NULL
110,a_110,closed,closed.voluntary,NULL,1337372762,1337356800,NULL
111,a_111,closed,closed.voluntary,B,1338416337,1338393600,NULL
112,a_112,closed,closed.voluntary,A,1339452517,1339430400,DISTINGUISHED
113,a_113,closed,closed.voluntary,NULL,1340310857,1340294400,NULL
114,a_114,closed,closed.involuntary,B,1340832176,1340812800,NULL
115,a_115,active,active.active,A,1344369843,1344355200,DISTINGUISHED
116,a_116,closed,closed.ar,NULL,1344520362,1344528000,NULL
117,a_117,closed,closed.voluntary,A,1344881084,1344873600,NULL
118,a_118,closed,closed.voluntary,NULL,1347557082,1347552000,NULL
119,a_119,active,active.active,A,1347892547,1347897600,DISTINGUISHED
120,a_120,active,active.active,B_PLUS,1350574081,1350576000,NULL
121,a_121,closed,closed.voluntary,NULL,1351014567,1351008000,NULL
